Mod:Item:MetaData, Localized Name
minecraft:furnace, Печь
minecraft:lit_furnace, Печь
minecraft:ladder, Лестница
minecraft:rail, Путь
minecraft:stone_stairs, Ступеньки из булыжника
minecraft:lever, Рычаг
minecraft:stone_pressure_plate, Нажимная плита
minecraft:wooden_pressure_plate, Нажимная плита
minecraft:redstone_ore, Красная руда
minecraft:redstone_torch, Красный факел
minecraft:stone_button, Кнопка
minecraft:snow_layer:0, Снег
minecraft:ice, Лёд
minecraft:snow, Снег
minecraft:cactus, Кактус
minecraft:clay, Глина
minecraft:jukebox, Проигрыватель
minecraft:fence, Забор
minecraft:pumpkin, Тыква
minecraft:netherrack, Адский камень
minecraft:soul_sand, Песок душ
minecraft:glowstone, Светящийся камень
minecraft:portal, Портал
minecraft:lit_pumpkin, Светильник Джека
minecraft:stained_glass:0, Белое стекло
minecraft:stained_glass:1, Оранжевое стекло
minecraft:stained_glass:2, Пурпурное стекло
minecraft:stained_glass:3, Голубое стекло
minecraft:stained_glass:4, Жёлтое стекло
minecraft:stained_glass:5, Лаймовое стекло
minecraft:stained_glass:6, Розовое стекло
minecraft:stained_glass:7, Серое стекло
minecraft:stained_glass:8, Светло-серое стекло
minecraft:stained_glass:9, Бирюзовое стекло
minecraft:stained_glass:10, Фиолетовое стекло
minecraft:stained_glass:11, Синее стекло
minecraft:stained_glass:12, Коричневое стекло
minecraft:stained_glass:13, Зелёное стекло
minecraft:stained_glass:14, Красное стекло
minecraft:stained_glass:15, Чёрное стекло
minecraft:trapdoor, Люк
minecraft:monster_egg:0, Камень с монстрами
minecraft:monster_egg:1, Булыжник с монстрами
minecraft:monster_egg:2, Каменный кирпич с монстрами
minecraft:monster_egg:3, Замшелый каменный кирпич с монстрами
minecraft:monster_egg:4, Потрескавшийся каменный кирпич с монстрами
minecraft:monster_egg:5, Резной каменный кирпич с монстрами
minecraft:stonebrick:0, Каменные кирпичи
minecraft:stonebrick:1, Замшелые каменные кирпичи
minecraft:stonebrick:2, Потресканные каменные кирпичи
minecraft:stonebrick:3, Резные каменные кирпичи
minecraft:brown_mushroom_block, Гриб
minecraft:red_mushroom_block, Гриб
minecraft:iron_bars, Железные прутья
minecraft:glass_pane, Стеклянная панель
minecraft:melon_block, Арбуз
minecraft:vine, Лоза
minecraft:fence_gate, Калитка
minecraft:brick_stairs, Кирпичные ступеньки
minecraft:stone_brick_stairs, Ступеньки из каменного кирпича
minecraft:mycelium, Мицелий
minecraft:waterlily, Кувшинка
minecraft:nether_brick, Адские кирпичи
minecraft:nether_brick_fence, Адский забор
minecraft:nether_brick_stairs, Адские ступеньки
minecraft:enchanting_table, Стол зачарований
minecraft:end_portal, Безымянный блок, сообщите автору мода.
minecraft:end_portal_frame, Портал в Энд
minecraft:end_stone, Эндерняк
minecraft:dragon_egg, Яйцо дракона
minecraft:redstone_lamp, Лампа
minecraft:wooden_slab:0, Дубовая плита
minecraft:wooden_slab:1, Еловая панель
minecraft:wooden_slab:2, Берёзовая плита
minecraft:wooden_slab:3, Плита из тропического дерева
minecraft:wooden_slab:4, Плита из акации
minecraft:wooden_slab:5, Плита из тёмного дуба
minecraft:cocoa, Какао
minecraft:sandstone_stairs, Ступеньки из песчаника
minecraft:emerald_ore, Изумрудная руда
minecraft:ender_chest, Сундук Эндера
minecraft:tripwire_hook, Крюк
minecraft:emerald_block, Изумрудный блок
minecraft:spruce_stairs, Еловые ступеньки
minecraft:birch_stairs, Березовые ступеньки
minecraft:jungle_stairs, Ступеньки из тропической древесины
minecraft:command_block, Командный блок
minecraft:beacon, Маяк
minecraft:cobblestone_wall:0, Каменная ограда
minecraft:cobblestone_wall:1, Ограда из замшелого булыжника
minecraft:carrots, Морковь
minecraft:potatoes, Картофель
minecraft:wooden_button, Кнопка
minecraft:anvil:0, Наковальня
minecraft:anvil:1, Повреждённая наковальня
minecraft:anvil:2, Сильно повреждённая наковальня
minecraft:trapped_chest, Сундук-ловушка
minecraft:light_weighted_pressure_plate, Утяжелённая нажимная пластина (Лёгкая)
minecraft:heavy_weighted_pressure_plate, Утяжелённая нажимная пластина (Тяжёлая)
minecraft:daylight_detector, Датчик дневного света
minecraft:redstone_block, Блок красного камня
minecraft:quartz_ore, Кварцевая руда
minecraft:hopper, Воронка
minecraft:quartz_block:0, Кварцевый блок
minecraft:quartz_block:1, Резной кварцевый блок
minecraft:quartz_block:2, Кварцевая колонна
minecraft:quartz_stairs, Кварцевые ступеньки
minecraft:activator_rail, Активирующий путь
minecraft:dropper, Выбрасыватель
minecraft:stained_hardened_clay:0, Белая обожжённая глина
minecraft:stained_hardened_clay:1, Оранжевая обожжённая глина
minecraft:stained_hardened_clay:2, Пурпурная обожжённая глина
minecraft:stained_hardened_clay:3, Голубая обожжённая глина
minecraft:stained_hardened_clay:4, Жёлтая обожжённая глина
minecraft:stained_hardened_clay:5, Лаймовая обожжённая глина
minecraft:stained_hardened_clay:6, Розовая обожжённая глина
minecraft:stained_hardened_clay:7, Серая обожжённая глина
minecraft:stained_hardened_clay:8, Светло-серая обожжённая глина
minecraft:stained_hardened_clay:9, Бирюзовая обожжённая глина
minecraft:stained_hardened_clay:10, Фиолетовая обожжённая глина
minecraft:stained_hardened_clay:11, Синяя обожжённая глина
minecraft:stained_hardened_clay:12, Коричневая обожжённая глина
minecraft:stained_hardened_clay:13, Зелёная обожжённая глина
minecraft:stained_hardened_clay:14, Красная обожжённая глина
minecraft:stained_hardened_clay:15, Чёрная обожжённая глина
minecraft:stained_glass_pane:0, Белая стеклянная панель
minecraft:stained_glass_pane:1, Оранжевая стеклянная панель
minecraft:stained_glass_pane:2, Пурпурная стеклянная панель
minecraft:stained_glass_pane:3, Голубая стеклянная панель
minecraft:stained_glass_pane:4, Жёлтая стеклянная панель
minecraft:stained_glass_pane:5, Лаймовая стеклянная панель
minecraft:stained_glass_pane:6, Розовая стеклянная панель
minecraft:stained_glass_pane:7, Серая стеклянная панель
minecraft:stained_glass_pane:8, Светло-серая стеклянная панель
minecraft:stained_glass_pane:9, Бирюзовая стеклянная панель
minecraft:stained_glass_pane:10, Фиолетовая стеклянная панель
minecraft:stained_glass_pane:11, Синяя стеклянная панель
minecraft:stained_glass_pane:12, Коричневая стеклянная панель
minecraft:stained_glass_pane:13, Зелёная стеклянная панель
minecraft:stained_glass_pane:14, Красная стеклянная панель
minecraft:stained_glass_pane:15, Чёрная стеклянная панель
minecraft:leaves2:0, Листья акации
minecraft:leaves2:1, Листья тёмного дуба
minecraft:log2:0, Древесина акации
minecraft:log2:1, Древесина тёмного дуба
minecraft:acacia_stairs, Ступеньки из древесины акации
minecraft:dark_oak_stairs, Ступеньки из тёмного дуба
appliedenergistics2:tile.OreQuartz, Руда истинного кварца
appliedenergistics2:tile.OreQuartzCharged, Заряженная руда истинного кварца
appliedenergistics2:tile.BlockMatrixFrame, Каркас матрицы
appliedenergistics2:tile.BlockQuartz, Блок истинного кварца
appliedenergistics2:tile.BlockQuartzPillar, Колонна истинного кварца
minecraft:hay_block, Сноп сена
minecraft:carpet:0, Ковёр
minecraft:carpet:1, Оранжевый ковёр
minecraft:carpet:2, Пурпурный ковёр
minecraft:carpet:3, Голубой ковёр
minecraft:carpet:4, Жёлтый ковёр
minecraft:carpet:5, Лаймовый ковёр
minecraft:carpet:6, Розовый ковёр
minecraft:carpet:7, Серый ковёр
minecraft:carpet:8, Светло-серый ковёр
minecraft:carpet:9, Бирюзовый ковёр
minecraft:carpet:10, Фиолетовый ковёр
minecraft:carpet:11, Синий ковёр
minecraft:carpet:12, Коричневый ковёр
minecraft:carpet:13, Зелёный ковёр
minecraft:carpet:14, Красный ковёр
minecraft:carpet:15, Чёрный ковёр
minecraft:hardened_clay, Обожжёная глина
minecraft:coal_block, Угольный блок
minecraft:packed_ice, Плотный лёд
minecraft:double_plant:0, Подсолнух
minecraft:double_plant:1, Сирень
minecraft:double_plant:2, Двойная высокая трава
minecraft:double_plant:3, Раскидистый папоротник
minecraft:double_plant:4, Розовый куст
minecraft:double_plant:5, Пион
appliedenergistics2:tile.BlockQuartzChiseled, Резной блок истинного кварца
appliedenergistics2:tile.BlockQuartzGlass, Кварцевое стекло
appliedenergistics2:tile.BlockQuartzLamp, Энергичное кварцевое стекло
appliedenergistics2:tile.BlockQuartzTorch, Светильник из заряженного кварца
appliedenergistics2:tile.BlockFluix, Изменчивый блок
appliedenergistics2:tile.BlockSkyStone:0, Небесный камень
appliedenergistics2:tile.BlockSkyStone:1, Блок небесного камня
appliedenergistics2:tile.BlockSkyStone:2, Кирпич небесного камня
appliedenergistics2:tile.BlockSkyStone:3, Малый кирпич небесного камня
appliedenergistics2:tile.BlockSkyCompass, Метеоритный компас
appliedenergistics2:tile.BlockGrinder, Кварцевый дробитель
appliedenergistics2:tile.BlockCrank, Деревянная рукоятка
appliedenergistics2:tile.BlockInscriber, Высекатель
appliedenergistics2:tile.BlockWireless, МЭ беспроводная точка доступа
appliedenergistics2:tile.BlockCharger, Зарядник
appliedenergistics2:tile.BlockTinyTNT, Маленький динамит
appliedenergistics2:tile.BlockSecurity, МЭ терминал безопасности
appliedenergistics2:tile.BlockQuantumRing, МЭ квантовое кольцо
appliedenergistics2:tile.BlockQuantumLinkChamber, МЭ камера квантовой связи
appliedenergistics2:tile.BlockSpatialPylon, Пространственный пилон
appliedenergistics2:tile.BlockSpatialIOPort, Пространственный порт ввода\вывода
appliedenergistics2:tile.BlockCableBus, AE2 кабель и/или шина
appliedenergistics2:tile.BlockController, МЭ контроллер
appliedenergistics2:tile.BlockDrive, МЭ накопитель
appliedenergistics2:tile.BlockChest, МЭ сундук
appliedenergistics2:tile.BlockInterface, МЭ интерфейс
appliedenergistics2:tile.BlockCellWorkbench, Верстак для ячеек
appliedenergistics2:tile.BlockIOPort, МЭ порт ввода\вывода
appliedenergistics2:tile.BlockCondenser, Конденсатор материи
appliedenergistics2:tile.BlockEnergyAcceptor, Приёмщик энергии
appliedenergistics2:tile.BlockVibrationChamber, Вибрационная камера
appliedenergistics2:tile.BlockQuartzGrowthAccelerator, Ускоритель роста кристаллов
appliedenergistics2:tile.BlockEnergyCell, Энергетическая ячейка
appliedenergistics2:tile.BlockDenseEnergyCell, Плотная энергетическая ячейка
appliedenergistics2:tile.BlockCreativeEnergyCell, Творческая энергетическая ячейка
appliedenergistics2:tile.BlockCraftingUnit:0, Блок создания
appliedenergistics2:tile.BlockCraftingUnit:1, Блок обработки создания
appliedenergistics2:tile.BlockCraftingStorage:0, 1К хранилище создания
appliedenergistics2:tile.BlockCraftingStorage:1, 4К хранилище создания
appliedenergistics2:tile.BlockCraftingStorage:2, 16К хранилище создания
appliedenergistics2:tile.BlockCraftingStorage:3, 64К хранилище создания
appliedenergistics2:tile.BlockCraftingMonitor:0, Монитор создания
appliedenergistics2:tile.BlockMolecularAssembler, Молекулярный сборщик
appliedenergistics2:tile.BlockLightDetector, Светильник обнаружения света
appliedenergistics2:tile.BlockPaint, tile.appliedenergistics2.BlockPaint.name
appliedenergistics2:tile.SkyStoneStairBlock, Ступеньки из небесного камня
appliedenergistics2:tile.SkyStoneBlockStairBlock, Ступеньки из блока небесного камня
appliedenergistics2:tile.SkyStoneBrickStairBlock, Ступеньки из кирпича небесного камня
appliedenergistics2:tile.SkyStoneSmallBrickStairBlock, Ступеньки из малого кирпича небесного камня
appliedenergistics2:tile.FluixStairBlock, Изменчивые ступеньки
appliedenergistics2:tile.QuartzStairBlock, Ступеньки из истинного кварца
appliedenergistics2:tile.ChiseledQuartzStairBlock, Ступеньки из резного истинного кварца
appliedenergistics2:tile.QuartzPillarStairBlock, Ступеньки из колонны истинного кварца
appliedenergistics2:tile.SkyStoneSlabBlock:0, Sky Stone Slabs
appliedenergistics2:tile.SkyStoneSlabBlock.double:0, Sky Stone Slabs
appliedenergistics2:tile.SkyStoneBlockSlabBlock:0, Sky Stone Block Slabs
appliedenergistics2:tile.SkyStoneBlockSlabBlock.double:0, Sky Stone Block Slabs
appliedenergistics2:tile.SkyStoneBrickSlabBlock:0, Sky Stone Brick Slabs
appliedenergistics2:tile.SkyStoneBrickSlabBlock.double:0, Sky Stone Brick Slabs
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock:0, Sky Stone Small Brick Slabs
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock.double:0, Sky Stone Small Brick Slabs
appliedenergistics2:tile.FluixSlabBlock:0, Fluix Slabs
appliedenergistics2:tile.FluixSlabBlock.double:0, Fluix Slabs
appliedenergistics2:tile.QuartzSlabBlock:0, Certus Quartz Slabs
appliedenergistics2:tile.QuartzSlabBlock.double:0, Certus Quartz Slabs
appliedenergistics2:tile.ChiseledQuartzSlabBlock:0, Chiseled Certus Quartz Slabs
appliedenergistics2:tile.ChiseledQuartzSlabBlock.double:0, Chiseled Certus Quartz Slabs
appliedenergistics2:tile.QuartzPillarSlabBlock:0, Certus Quartz Pillar Slabs
appliedenergistics2:tile.QuartzPillarSlabBlock.double:0, Certus Quartz Pillar Slabs
BiblioCraft:BiblioPaneler:0, Дубовый мебельный панельщик
BiblioCraft:BiblioPaneler:1, Еловый мебельный панельщик
BiblioCraft:BiblioPaneler:2, Берёзовый мебельный панельщик
BiblioCraft:BiblioPaneler:3, Мебельный панельщик из тропического дерева
BiblioCraft:BiblioPaneler:4, Мебельный панельщик из акации
BiblioCraft:BiblioPaneler:5, Мебельный панельщик из тёмного дуба
BiblioCraft:BiblioPaneler:6, Каркасный мебельный панельщик
BiblioCraft:BiblioClipboard, tile.BiblioClipboard.name
BiblioCraft:BiblioTypewriter:0, Белая печатная машинка
BiblioCraft:BiblioTypewriter:1, Светло-серая печатная машинка
BiblioCraft:BiblioTypewriter:2, Серая печатная машинка
BiblioCraft:BiblioTypewriter:3, Чёрная печатная машинка
BiblioCraft:BiblioTypewriter:4, Красная печатная машинка
BiblioCraft:BiblioTypewriter:5, Оранжевая печатная машинка
BiblioCraft:BiblioTypewriter:6, Жёлтая печатная машинка
BiblioCraft:BiblioTypewriter:7, Лаймовая печатная машинка
BiblioCraft:BiblioTypewriter:8, Зелёная печатная машинка
BiblioCraft:BiblioTypewriter:9, Бирюзовая печатная машинка
BiblioCraft:BiblioTypewriter:10, Светло-синяя печатная машинка
BiblioCraft:BiblioTypewriter:11, Синяя печатная машинка
BiblioCraft:BiblioTypewriter:12, Фиолетовая печатная машинка
BiblioCraft:BiblioTypewriter:13, Сиреневая печатная машинка
BiblioCraft:BiblioTypewriter:14, Розовая печатная машинка
BiblioCraft:BiblioTypewriter:15, Коричневая печатная машинка
BiblioCraft:BiblioClock:0, Дубовые часы
BiblioCraft:BiblioClock:1, Еловые часы
BiblioCraft:BiblioClock:2, Берёзовые часы
BiblioCraft:BiblioClock:3, Часы из тропического дерева
BiblioCraft:BiblioClock:4, Часы из акации
BiblioCraft:BiblioClock:5, Часы из тёмного дуба
BiblioCraft:BiblioClock:6, Каркасные часы
BiblioCraft:BiblioFlatPainting:0, Дубовая картинная рамка
BiblioCraft:BiblioFlatPainting:1, Еловая картинная рамка
BiblioCraft:BiblioFlatPainting:2, Берёзовая картинная рамка
BiblioCraft:BiblioFlatPainting:3, Картинная рамка из тропического дерева
BiblioCraft:BiblioFlatPainting:4, Картинная рамка из акации
BiblioCraft:BiblioFlatPainting:5, Картинная рамка из тёмного дуба
BiblioCraft:BiblioFlatPainting:6, Каркасная картинная рамка
BiblioCraft:BiblioSimplePainting:0, Дубовая картинная рамка
BiblioCraft:BiblioSimplePainting:1, Еловая картинная рамка
BiblioCraft:BiblioSimplePainting:2, Берёзовая картинная рамка
BiblioCraft:BiblioSimplePainting:3, Картинная рамка из тропического дерева
BiblioCraft:BiblioSimplePainting:4, Картинная рамка из акации
BiblioCraft:BiblioSimplePainting:5, Картинная рамка из тёмного дуба
BiblioCraft:BiblioSimplePainting:6, Каркасная картинная рамка
BiblioCraft:BiblioMiddlePainting:0, Дубовая картинная рамка
BiblioCraft:BiblioMiddlePainting:1, Еловая картинная рамка
BiblioCraft:BiblioMiddlePainting:2, Берёзовая картинная рамка
BiblioCraft:BiblioMiddlePainting:3, Картинная рамка из тропического дерева
BiblioCraft:BiblioMiddlePainting:4, Картинная рамка из акации
BiblioCraft:BiblioMiddlePainting:5, Картинная рамка из тёмного дуба
BiblioCraft:BiblioMiddlePainting:6, Каркасная картинная рамка
BiblioCraft:BiblioFancyPainting:0, Дубовая картинная рамка
BiblioCraft:BiblioFancyPainting:1, Еловая картинная рамка
BiblioCraft:BiblioFancyPainting:2, Берёзовая картинная рамка
BiblioCraft:BiblioFancyPainting:3, Картинная рамка из тропического дерева
BiblioCraft:BiblioFancyPainting:4, Картинная рамка из акации
BiblioCraft:BiblioFancyPainting:5, Картинная рамка из тёмного дуба
BiblioCraft:BiblioFancyPainting:6, Каркасная картинная рамка
BiblioCraft:BiblioBorderlessPainting:0, Дубовая картинная рамка
BiblioCraft:BiblioBorderlessPainting:1, Еловая картинная рамка
BiblioCraft:BiblioBorderlessPainting:2, Берёзовая картинная рамка
BiblioCraft:BiblioBorderlessPainting:3, Картинная рамка из тропического дерева
BiblioCraft:BiblioBorderlessPainting:4, Картинная рамка из акации
BiblioCraft:BiblioBorderlessPainting:5, Картинная рамка из тёмного дуба
BiblioCraft:BiblioBorderlessPainting:6, Каркасная картинная рамка
BiblioCraft:BiblioPaintPress, Картинный станок
BiblioCraft:BiblioSwordPedestal:0, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:1, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:2, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:3, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:4, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:5, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:6, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:7, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:8, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:9, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:10, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:11, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:12, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:13, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:14, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:15, Пьедестал для меча
BiblioCraft:BiblioFancySign:0, Дубовая красивая табличка
BiblioCraft:BiblioFancySign:1, Еловая красивая табличка
BiblioCraft:BiblioFancySign:2, Берёзовая красивая табличка
BiblioCraft:BiblioFancySign:3, Красивая табличка из тропического дерева
BiblioCraft:BiblioFancySign:4, Красивая табличка из акации
BiblioCraft:BiblioFancySign:5, Красивая табличка из тёмного дуба
BiblioCraft:BiblioFancySign:6, Каркасная красивая табличка
BiblioCraft:BiblioWorkbench:0, Дубовый красивый верстак
BiblioCraft:BiblioWorkbench:1, Еловый красивый верстак
BiblioCraft:BiblioWorkbench:2, Берёзовый красивый верстак
BiblioCraft:BiblioWorkbench:3, Красивый верстак из тропического дерева
BiblioCraft:BiblioWorkbench:4, Красивый верстак из акации
BiblioCraft:BiblioWorkbench:5, Красивый верстак из тёмного дуба
BiblioCraft:BiblioWorkbench:6, Каркасный красивый верстак
BiblioCraft:BiblioBell, Настольный звонок
BiblioCraft:Bibliotheca:0, Дубовый книжный шкаф
BiblioCraft:Bibliotheca:1, Еловый книжный шкаф
BiblioCraft:Bibliotheca:2, Берёзовый книжный шкаф
BiblioCraft:Bibliotheca:3, Книжный шкаф из тропического дерева
BiblioCraft:Bibliotheca:4, Книжный шкаф из акации
BiblioCraft:Bibliotheca:5, Книжный шкаф из тёмного дуба
BiblioCraft:Bibliotheca:6, Каркасный книжный шкаф
BiblioCraft:BookcaseFilled:0, Дубовый книжный шкаф
BiblioCraft:BookcaseFilled:1, Еловый книжный шкаф
BiblioCraft:BookcaseFilled:2, Берёзовый книжный шкаф
BiblioCraft:BookcaseFilled:3, Книжный шкаф из тропического дерева
BiblioCraft:BookcaseFilled:4, Книжный шкаф из акации
BiblioCraft:BookcaseFilled:5, Книжный шкаф из тёмного дуба
BiblioCraft:BookcaseFilled:6, Каркасный книжный шкаф
BiblioCraft:BiblioPotionShelf:0, Дубовая полка для зелий
BiblioCraft:BiblioPotionShelf:1, Еловая полка для зелий
BiblioCraft:BiblioPotionShelf:2, Берёзовая полка для зелий
BiblioCraft:BiblioPotionShelf:3, Полка для зелий из тропического дерева
BiblioCraft:BiblioPotionShelf:4, Полка для зелий из акации
BiblioCraft:BiblioPotionShelf:5, Полка для зелий из тёмного дуба
BiblioCraft:BiblioPotionShelf:6, Каркасная полка для зелий
BiblioCraft:BiblioRack:0, Дубовый стеллаж для инструментов
BiblioCraft:BiblioRack:1, Еловый стеллаж для инструментов
BiblioCraft:BiblioRack:2, Берёзовый стеллаж для инструментов
BiblioCraft:BiblioRack:3, Стеллаж для инструментов из тропического дерева
BiblioCraft:BiblioRack:4, Стеллаж для инструментов из акации
BiblioCraft:BiblioRack:5, Стеллаж для инструментов из тёмного дуба
BiblioCraft:BiblioRack:6, Каркасный стеллаж для инструментов
minecraft:iron_shovel, Железная лопата
minecraft:iron_pickaxe, Железная кирка
minecraft:iron_axe, Железный топор
minecraft:flint_and_steel, Огниво
minecraft:apple, Яблоко
minecraft:bow, Лук
minecraft:arrow, Стрела
minecraft:coal:0, Уголь
minecraft:coal:1, Древесный уголь
minecraft:diamond, Алмаз
minecraft:iron_ingot, Железный слиток
minecraft:gold_ingot, Золотой слиток
minecraft:iron_sword, Железный меч
minecraft:wooden_sword, Деревянный меч
minecraft:wooden_shovel, Деревянная лопата
minecraft:wooden_pickaxe, Деревянная кирка
minecraft:wooden_axe, Деревянный топор
minecraft:stone_sword, Каменный меч
minecraft:stone_shovel, Каменная лопата
minecraft:stone_pickaxe, Каменная кирка
minecraft:stone_axe, Каменный топор
minecraft:diamond_sword, Алмазный меч
minecraft:diamond_shovel, Алмазная лопата
minecraft:diamond_pickaxe, Алмазная кирка
minecraft:diamond_axe, Алмазный топор
minecraft:stick, Палка
minecraft:bowl, Миска
minecraft:mushroom_stew, Тушеные грибы
minecraft:golden_sword, Золотой меч
minecraft:golden_shovel, Золотая лопата
minecraft:golden_pickaxe, Золотая кирка
minecraft:golden_axe, Золотой топор
minecraft:string, Нить
minecraft:feather, Перо
minecraft:gunpowder, Порох
minecraft:wooden_hoe, Деревянная мотыга
minecraft:stone_hoe, Каменная мотыга
minecraft:iron_hoe, Железная мотыга
minecraft:diamond_hoe, Алмазная мотыга
minecraft:golden_hoe, Золотая мотыга
minecraft:wheat_seeds, Семена пшеницы
minecraft:wheat, Пшеница
minecraft:bread, Хлеб
minecraft:leather_helmet, Кожаный шлем
minecraft:leather_chestplate, Кожаная куртка
minecraft:leather_leggings, Кожаные штаны
minecraft:leather_boots, Кожаные ботинки
minecraft:chainmail_helmet, Койф
minecraft:chainmail_chestplate, Кольчуга
minecraft:chainmail_leggings, Кольчужные поножи
minecraft:chainmail_boots, Кольчужные ботинки
minecraft:iron_helmet, Железный шлем
minecraft:iron_chestplate, Железный нагрудник
minecraft:iron_leggings, Железные поножи
minecraft:iron_boots, Железные ботинки
minecraft:diamond_helmet, Алмазный шлем
minecraft:diamond_chestplate, Алмазный нагрудник
minecraft:diamond_leggings, Алмазные поножи
minecraft:diamond_boots, Алмазные ботинки
minecraft:golden_helmet, Золотой шлем
minecraft:golden_chestplate, Золотой нагрудник
minecraft:golden_leggings, Золотые поножи
minecraft:golden_boots, Золотые ботинки
minecraft:flint, Кремень
minecraft:porkchop, Сырая свинина
minecraft:cooked_porkchop, Жареная свинина
minecraft:painting, Картина
minecraft:golden_apple:0, Золотое яблоко
minecraft:golden_apple:1, Золотое яблоко
minecraft:sign, Табличка
minecraft:wooden_door, Деревянная дверь
minecraft:bucket, Ведро
minecraft:water_bucket, Ведро воды
minecraft:lava_bucket, Ведро лавы
minecraft:minecart, Вагонетка
